,id,timestamp,pmv,ppd,co2,pm25,pm10,temp,hr,voc,co,no2,c2h5ch,idnodo
0,3909814,2022-04-28 15:40:00,0.88,21.0,708.0,0.0,-1.0,27.3,50.0,39.0,1.56,55.0,103.0,fdba37
1,3909794,2022-04-28 15:38:00,0.88,21.0,708.0,0.0,,27.3,49.,40.0,1.62,57.0,104.0,fdba37
2,3909774,2022-04-28 15:37:00,0.88,21.0,708.0,,4.3,27.3,49.6,40.0,1.57,56.0,104.0,fdba37
3,3909754,2022-04-28 15:36:00,0.88,21.0,,2.4,3.0,,49.6,40.0,1.57,55.0,104.0,fdba37
4,3909734,2022-04-28 15:35:00,,,708.0,2.6,3.7,27.3,49.4,40.0,1.56,56.0,104.0,fdba37
5,3909714,2022-04-28 15:34:00,0.88,21.0,708.0,,4.1,27.3,49.5,40.0,,56.0,104.0,fdba37
6,3909694,2022-04-28 15:33:00,0.88,21.0,708.0,2.7,3.6,,,40.0,1.56,,103.0,fdba37
7,3909674,2022-04-28 15:32:00,,21.0,708.0,0.0,,27.3,49.8,,1.58,55.0,103.0,fdba37
8,3909654,2022-04-28 15:31:00,0.88,21.0,708.0,,4.0,27.3,49.8,40.0,1.6,55.0,104.0,fdba37
9,3909634,2022-04-28 15:30:00,0.88,21.0,708.0,2.9,5.2,27.3,,40.0,1.59,55.0,103.0,fdba37
10,3909614,2022-04-28 15:29:00,0.88,21.0,708.0,,6.8,27.3,49.8,40.0,1.59,,104.0,fdba37
11,3909594,2022-04-28 15:28:00,0.88,21.0,708.0,3.2,,27.3,49.8,40.0,1.6,54.0,103.0,fdba37
12,3909574,2022-04-28 15:27:00,0.88,21.0,,3.9,6.8,27.3,49.9,,,55.0,103.0,fdba37
13,3909554,2022-04-28 15:26:00,0.88,21.0,,3.8,9.1,,49.8,40.0,1.62,,103.0,fdba37
14,3909534,2022-04-28 15:25:00,,,708.0,3.9,6.6,27.3,49.7,41.0,,56.0,103.0,fdba37
15,3909514,2022-04-28 15:24:00,0.88,21.0,708.0,3.4,6.0,27.3,49.9,40.0,1.57,57.0,103.0,fdba37
16,3909494,2022-04-28 15:23:00,0.88,21.0,708.0,,6.9,27.3,49.9,41.0,1.58,57.0,104.0,fdba37
17,3909474,2022-04-28 15:22:00,0.88,21.0,708.0,3.9,7.7,27.3,49.8,40.0,1.58,58.0,104.0,fdba37
18,3909454,2022-04-28 15:21:00,0.88,21.0,708.0,3.5,5.3,27.3,49.9,,1.6,57.0,103.0,fdba37
19,3909434,2022-04-28 15:20:00,0.88,21.0,708.0,,,27.3,50.1,40.0,1.61,,103.0,fdba37
