"id","timestamp","pmv","ppd","co2","pm25","pm10","temp","hr","voc","co","no2","c2h5ch","idnodo"
3909493,2022-04-28 15:23:00,-1.11,31.0,727.0,3.9,7.3,20.7,52.1,63.0,1.2,411.0,99.0,b769f4
3909491,2022-04-28 15:23:00,0.44,9.0,733.0,3.1,4.8,25.9,49.0,7.0,0.36,14.0,8.0,ee10d2
3909488,2022-04-28 15:23:00,-0.45,9.0,708.0,7.4,11.5,22.9,52.1,23.0,0.92,372.0,66.0,"7d2602"
3909489,2022-04-28 15:23:00,0.61,13.0,729.0,4.8,13.6,26.5,47.6,16.0,0.8,287.0,201.0,"6036cb"
3909490,2022-04-28 15:23:00,0.2,6.0,721.0,6.1,15.5,25.1,49.4,14.0,1.62,131.0,52.0,d49233
3909492,2022-04-28 15:23:00,0.04,5.0,725.0,3.2,4.3,24.5,51.7,102.0,1.06,224.0,235.0,a0d068
3909473,2022-04-28 15:22:00,-1.11,31.0,727.0,4.4,7.8,20.7,52.1,64.0,1.21,411.0,99.0,b769f4
3909474,2022-04-28 15:22:00,0.88,21.0,708.0,3.9,7.7,27.3,49.8,40.0,1.58,58.0,104.0,fdba37
3909476,2022-04-28 15:22:00,-0.3,7.0,734.0,3.7,7.0,23.4,51.4,16.0,0.72,226.0,120.0,"1f573a"
3909479,2022-04-28 15:22:00,-0.91,22.0,731.0,0.0,-1.0,21.4,51.0,23.0,0.71,412.0,15.0,b34721
3909478,2022-04-28 15:22:00,-1.03,27.0,724.0,3.2,4.8,21.0,51.3,18.0,1.12,999.0,22.0,db8750
3909485,2022-04-28 15:22:00,0.42,9.0,721.0,6.5,17.6,25.8,50.0,14.0,1.72,314.0,72.0,f1b0d2
3909480,2022-04-28 15:22:00,0.85,20.0,734.0,3.2,8.5,27.2,49.7,54.0,1.79,644.0,137.0,"7be52b"
3909481,2022-04-28 15:22:00,-0.28,7.0,733.0,4.4,10.6,23.5,49.9,24.0,1.1,480.0,14.0,"7a4863"
3909472,2022-04-28 15:22:00,0.04,5.0,725.0,2.9,4.9,24.5,51.9,101.0,1.05,224.0,235.0,a0d068
3909471,2022-04-28 15:22:00,0.44,9.0,733.0,3.1,6.2,25.9,48.3,7.0,0.36,14.0,8.0,ee10d2
3909484,2022-04-28 15:22:00,0.05,5.0,730.0,4.7,9.7,24.6,49.0,54.0,0.52,500.0,186.0,d40b97
3909469,2022-04-28 15:22:00,0.61,13.0,729.0,4.1,8.8,26.5,47.3,17.0,0.8,285.0,201.0,"6036cb"
3909487,2022-04-28 15:22:00,-0.14,5.0,726.0,5.0,14.7,24.0,48.8,65.0,1.58,425.0,178.0,"977f9b"
3909470,2022-04-28 15:22:00,0.2,6.0,721.0,5.7,16.7,25.1,49.4,14.0,1.61,130.0,52.0,d49233
3909482,2022-04-28 15:22:00,-1.19,35.0,726.0,4.7,11.5,20.4,53.2,17.0,1.53,388.0,57.0,"52fde4"
3909486,2022-04-28 15:22:00,0.15,5.0,714.0,8.3,37.2,24.9,50.1,6.0,1.27,361.0,93.0,"762d70"
